date,rub_to_usd
2013-11-15,32.758123
2020-07-06,71.811793
2021-11-13,72.879749
2021-09-17,72.793861
2005-05-09,27.729288
2015-06-13,54.423539
2015-06-12,54.423539
2015-06-14,54.423539
2016-09-12,63.653945
2016-09-08,64.068143
2020-12-22,75.913491
2012-05-14,30.239922
2012-09-26,31.199845
2013-05-23,31.359679
2008-09-06,25.461786
2008-09-05,25.461786
2008-09-07,25.461786
2012-01-18,30.822219
2009-01-21,32.206459
2022-03-09,136.193733
2018-01-03,57.4571
2005-10-26,28.512808
2006-02-24,28.204243
2006-02-25,28.204243
2017-12-21,58.720913
2006-02-26,28.204243
2014-03-18,36.243627
2010-02-01,30.341208
2016-11-30,65.051089
2021-08-10,73.863566
2019-01-15,67.018217
2018-10-24,65.556524
2006-04-19,27.409921
2005-08-09,28.381806
2020-11-09,76.298103
2011-07-26,27.694197
2015-09-12,67.439022
2015-09-11,67.439022
2016-08-27,64.601452
2016-06-14,65.418475
2016-08-26,64.601452
2016-08-28,64.601452
2015-09-13,67.439022
2014-02-03,35.17156
2010-07-22,30.328683
2012-09-13,31.553747
2005-04-20,27.65034
2007-03-05,26.261939
2010-04-08,29.412694
2011-10-03,32.395928
2010-12-15,30.780031
2014-08-19,36.025672
2010-11-23,31.164167
2011-02-13,29.387002
2011-02-11,29.387002
2011-02-12,29.387002
2014-06-24,34.042567
2010-05-02,29.225899
2010-05-01,29.225899
2010-04-30,29.225899
2015-06-28,54.649201
2015-06-27,54.649201
2015-06-26,54.649201
2016-03-29,68.422744
2013-02-06,29.971872
2005-07-19,28.607648
2021-09-16,72.425094
2008-10-05,25.551396
2007-07-15,25.441494
2009-06-15,31.187885
2008-10-04,25.551396
2007-07-14,25.441494
2007-07-13,25.441494
2008-10-03,25.551396
2017-03-12,59.023728
2017-02-15,56.820287
2017-03-11,59.023728
2017-03-10,59.023728
2008-11-25,26.54074
2013-05-12,31.241215
2013-05-10,31.241215
2013-05-11,31.241215
2008-04-03,23.587796
2006-06-12,25.975687
2010-01-29,30.366265
2011-03-03,28.38451
2010-01-30,30.366265
2010-01-31,30.366265
2007-09-13,25.358044
2018-04-23,61.405361
2007-11-20,24.322794
2011-05-04,27.381784
2009-07-18,31.698192
2009-07-17,31.698192
2009-07-19,31.698192
2018-02-06,57.304657
2018-07-03,63.399416
2018-04-02,57.388338
2010-09-12,30.910581
2010-09-10,30.910581
2010-09-11,30.910581
2016-06-23,63.807733
2008-11-03,26.999128
2014-08-02,35.692532
2014-08-01,35.692532
2014-08-18,36.138611
2014-08-03,35.692532
2013-06-19,31.984914
2010-04-21,29.121957
2011-03-23,28.297925
2021-11-16,73.068732
2020-07-07,71.430189
2022-04-10,80.797703
2020-06-16,69.653279
2022-08-17,60.92336
2013-04-29,31.281224
2021-11-08,71.156426
2022-02-20,77.342474
2021-08-11,73.406436
2005-05-21,28.107828
2005-05-22,28.107828
2005-05-20,28.107828
2016-04-05,68.579946
2016-01-14,75.915947
2020-02-27,65.453886
2015-07-17,56.812787
2015-03-29,57.340713
2015-03-27,57.340713
2015-03-28,57.340713
2015-07-19,56.812787
2015-07-18,56.812787
2012-10-05,30.956826
2013-04-25,31.466774
2012-10-07,30.956826
2012-10-06,30.956826
2013-03-04,30.705078
2007-01-09,26.47534
2012-12-03,30.835577
2006-06-28,27.074765
2006-06-13,26.033796
2009-05-02,33.029093
2009-05-03,33.029093
2009-05-01,33.029093
2018-03-21,57.507917
2018-04-08,57.677196
2018-04-06,57.677196
2018-04-07,57.677196
2018-12-18,66.652863
2015-05-14,49.282379
2022-06-14,58.338888
2014-12-25,54.450037
2022-06-02,63.442075
2016-02-10,78.829849
2018-04-20,60.98137
2010-05-25,31.378746
2018-04-21,60.98137
2018-04-22,60.98137
2020-09-02,75.490089
2013-02-05,30.076303
2017-01-20,59.250375
2017-01-22,59.250375
2017-01-21,59.250375
2019-09-12,64.669028
2019-11-14,64.305457
2015-09-22,65.71629
2019-05-08,65.39362
2014-08-25,36.251307
2010-05-12,30.013846
2014-10-15,40.919614
2009-02-24,35.499689
2020-11-25,75.595993
2018-03-13,56.86953
2016-06-13,64.733274
2015-10-08,59.879804
2009-04-16,33.295903
2012-12-26,30.694537
2012-12-25,30.638088
2009-10-14,29.338401
2006-11-07,25.570232
2010-05-10,30.53807
2005-11-08,28.845003
2005-11-29,28.807784
2011-04-13,28.126831
2020-04-29,74.021962
2015-07-06,55.957708
2009-06-29,31.043092
2011-09-08,29.440721
2007-05-25,25.887138
2007-05-26,25.887138
2007-05-27,25.887138
2017-01-30,59.801475
2017-01-23,59.62507
2010-03-09,29.71669
2010-02-17,30.140148
2014-01-12,33.224223
2014-01-10,33.224223
2014-01-11,33.224223
2021-02-08,74.351212
2021-03-24,76.643928
2022-02-22,78.791735
2020-01-31,63.220963
2019-10-15,64.263034
2020-02-01,63.220963
2020-02-02,63.220963
2015-05-05,51.852633
2006-02-20,28.173286
2018-05-08,62.901793
2008-02-14,24.599153
2015-02-20,61.895575
2015-01-28,67.773995
2015-02-21,61.895575
2015-02-22,61.895575
2021-05-18,73.674987
2014-09-30,39.387834
2021-01-30,75.955
2013-11-12,32.704079
2013-11-09,32.31628
2013-11-10,32.31628
2013-11-08,32.31628
2021-12-13,73.548741
2015-12-07,67.331771
2015-11-06,62.37376
2015-11-08,62.37376
2015-11-07,62.37376
2009-10-20,29.171409
2017-04-05,56.093165
2022-08-30,61.723517
2021-01-15,73.502401
2016-04-12,66.782529
2018-11-06,66.033471
2019-01-28,65.916586
2021-06-04,72.863798
2014-04-25,35.716527
2014-04-26,35.716527
2014-04-27,35.716527
2017-11-15,60.362079
2005-11-07,28.837446
2019-01-26,65.749138
2019-01-27,65.749138
2019-01-25,65.749138
2017-05-23,56.60468
2016-09-26,63.792508
2022-09-11,60.749924
2020-10-10,76.7662
2021-03-09,74.090807
2006-08-13,26.817289
2006-08-12,26.817289
2006-08-11,26.817289
2016-02-03,79.827596
2022-07-28,59.929884
2007-12-13,24.503076
2022-07-10,64.944247
2013-01-14,29.318216
2009-03-11,34.857734
2009-11-04,29.119914
2008-01-14,24.278701
2007-05-17,25.828703
2005-07-10,28.641182
2005-07-09,28.641182
2005-07-08,28.641182
2010-09-23,30.997386
2007-07-03,25.674405
2010-04-03,28.655683
2008-10-06,25.798667
2010-04-02,28.655683
2010-04-04,28.655683
2018-10-08,66.57997
2008-07-21,23.175192
2005-09-17,28.350355
2005-09-18,28.350355
2010-06-02,31.1255
2005-09-16,28.350355
2007-02-02,25.51211
2007-02-04,25.51211
2007-02-03,25.51211
2010-05-04,29.702098
2017-08-21,59.059884
2020-05-05,74.710969
2015-10-01,65.049857
2015-06-24,53.690029
2017-05-31,56.718403
2014-03-23,36.285372
2014-03-21,36.285372
2014-03-22,36.285372
2014-03-27,35.475911
2010-02-09,30.422943
2014-10-10,40.133896
2014-10-11,40.133896
2014-10-12,40.133896
2015-08-27,68.615344
2020-02-26,65.283312
2019-03-22,63.861099
2018-12-19,67.410989
2018-12-07,66.863297
2019-03-24,63.861099
2019-03-23,63.861099
2018-12-08,66.863297
2019-06-27,63.036484
2018-12-09,66.863297
2014-04-18,35.414205
2014-04-16,36.197944
2014-04-20,35.414205
2014-04-19,35.414205
2021-12-23,73.333243
2018-07-13,62.232128
2018-07-14,62.232128
2018-08-02,62.979599
2018-07-15,62.232128
2013-10-07,31.500516
2021-04-19,76.431983
2017-03-23,57.779889
2022-01-02,74.924561
2020-08-31,73.8859
2019-06-17,64.286173
2022-08-10,60.190712
2005-06-12,28.676774
2005-06-11,28.676774
2005-06-10,28.676774
2020-08-21,74.820899
2016-12-09,63.28632
2016-12-11,63.28632
2016-11-29,64.616326
2016-12-10,63.28632
2008-02-27,24.101733
2008-02-06,24.632277
2005-12-21,28.887443
2019-12-02,64.266903
2016-11-09,63.548326
2019-09-23,63.76595
2021-10-05,72.25945
2012-02-08,29.764737
2012-02-09,29.749943
2015-10-23,62.570977
2015-10-24,62.570977
2015-10-25,62.570977
2008-02-26,24.142905
2020-07-25,71.670096
2013-12-17,32.929521
2020-10-14,77.7458
2006-10-12,25.78949
2007-10-08,25.04164
2022-04-06,82.042957
2018-03-10,57.112131
2018-03-09,57.112131
2018-03-11,57.112131
2021-10-15,70.939804
2021-08-09,73.622151
2018-01-11,57.055788
2005-12-12,28.677651
2020-09-17,75.004579
2021-09-14,72.756571
2008-11-20,27.204036
2022-02-11,76.769663
2021-09-23,72.695647
2016-01-06,73.131417
2017-01-26,59.13058
2014-09-01,36.342169
2011-01-13,29.246648
2019-07-03,63.286106
2015-09-02,65.46914
2007-08-16,25.772067
2015-12-09,69.064531
2016-12-01,63.801832
2010-03-28,29.568084
2010-03-26,29.568084
2010-03-27,29.568084
2013-05-21,31.172058
2014-09-09,37.000388
2009-02-12,34.393608
2019-06-20,63.757786
2021-07-01,73.502399
2016-11-01,62.967192
2008-08-05,23.508556
2010-03-08,29.765367
2014-07-09,34.173974
2006-06-04,25.565877
2006-06-02,25.565877
2008-11-24,26.644991
2006-06-03,25.565877
2008-11-05,26.368478
2018-04-11,62.970396
2008-04-21,23.381096
2005-08-24,28.401499
2010-05-29,30.893189
2010-05-28,30.893189
2010-05-30,30.893189
2005-05-26,28.112514
2014-10-06,39.984178
2006-09-26,26.780169
2010-09-01,30.844723
2013-06-18,31.750954
2010-10-27,30.485564
2014-10-21,41.047206
2005-04-14,27.897616
2021-07-07,74.749495
2005-12-06,28.875233
2012-05-10,30.382623
2013-05-15,31.403726
2021-07-20,74.3784
2022-02-23,81.370815
2019-08-19,66.478998
2019-12-24,62.299892
2017-05-17,56.553362
2006-01-04,28.684775
2005-10-25,28.320674
2006-04-14,27.694022
2006-04-16,27.694022
2006-04-15,27.694022
2006-04-10,27.655218
2013-08-28,33.176075
2009-05-07,32.486111
2020-08-20,73.8905
2005-09-26,28.447776
2005-06-28,28.6739
2014-02-07,34.673779
2011-02-08,28.543261
2014-02-08,34.673779
2014-02-09,34.673779
2015-01-12,61.373347
2020-08-29,74.085197
2020-08-28,74.085197
2015-04-28,51.514525
2015-09-03,65.665567
2016-05-24,66.716298
2017-06-02,56.307864
2019-07-09,63.671541
2019-05-01,64.668955
2017-06-03,56.307864
2017-06-15,57.436698
2017-06-04,56.307864
2017-01-16,59.663468
2016-12-14,60.022486
2022-08-27,60.287026
2006-01-12,28.463263
