conf_id,event,country
2476,TEDxPortofSpain,Trinidad and Tobago
2478,TEDxHampshireCollege,United States
2479,TED@Nairobi,Kenya
2480,TEDxGoodenoughCollege,UK
2481,TEDSalon NY2012,United States
2485,TEDxEQChCh,United States
2486,TEDxWitsUniversity,South Africa
2487,TEDxJaffa 2012,Israel
2488,TEDxHelvetia,United States
2489,TEDYouth 2011,United States
2493,TED@Johannesburg,South Africa
2494,TEDxUSC,United States
2503,TEDxMaui,United States
2505,TEDxBoston 2012,United States
2511,TEDxSanDiego,United States
2513,TED@London,UK
2514,TEDxToronto 2011,Canada
2516,TEDxCHUV,United States
2517,TEDSalon London Spring 2012,UK
2522,TEDxWinnipeg,Canada
2523,TED@Bangalore,India
2524,TEDxEast,United States
2529,TEDxImperialCollege,UK
2530,TEDxObserver,United States
2531,TEDxGrandRapids,United States
2532,TEDxABQ,United States
2533,TEDxSussexUniversity,UK
2534,TEDxMaastricht,Netherlands
2538,TEDxSanJoseCA,United States
2539,TED@SXSWi,United States
2540,TEDxHogeschoolUtrecht,Netherlands
2541,TEDxWomen 2011,United States
2548,TEDxKrakow,Poland
2550,TEDxPhoenix,United States
2554,TEDxConcordiaUPortland,United States
2555,TEDSalon London Fall 2011,UK
2557,TEDxTC,United States
2560,TEDxChange,United States
2564,TEDxUW,United States
2565,Mission Blue Voyage,Ecuador
2583,TEDxNewy,United States
2584,TEDGlobal 2011,Scotland
2652,INK Conference,United States
2658,TEDMED 2011,United States
2665,TEDxGreatPacificGarbagePatch,United States
2668,TEDxToronto 2010,Canada
2672,TEDWomen 2010,United States
2706,TED1994,United States
2707,TEDxBoston 2011,United States
2713,TEDSalon London Spring 2011,UK
2719,TEDSalon NY2011,United States
2725,TEDxSanMigueldeAllende,Mexico
2726,TEDxAmericanRiviera,United States
2727,TEDxRC2,United States
2730,TEDxVictoria,Canada
2731,TEDxNASA@SiliconValley,United States
2732,TEDxZurich 2011,Switzerland
2733,TEDxYYC,United States
2736,TEDxDU 2011,United States
2737,TEDxBoulder 2011,United States
2739,TED2010,United States
2807,Full Spectrum Auditions,United States
2810,TEDxO'Porto,United States
2811,TEDxOrangeCoast,United States
2812,TEDxUIUC,United States
2813,TEDxParis 2010,France
2815,TED2007,United States
2883,TED@Cannes,France
2888,TEDActive 2011,United States
2891,TEDxBG,United States
2892,TEDxNorthwesternU,United States
2893,TEDxSiliconValley,United States
2894,TED2005,United States
2930,TEDPrize@UN,United States
2932,TEDMED 2010,United States
2936,TED@MotorCity,United States
2938,TEDxRotterdam 2010,Netherlands
2940,TEDSalon London 2010,UK
2947,TEDGlobal 2010,UK
3002,TEDxDubai,UAE
3003,TEDxHouston,United States
3005,TEDxPennQuarter,United States
3006,TEDxGöteborg 2010,Sweden
3007,TEDxMidwest,United States
3010,TEDxDU 2010,United States
3012,TEDxTelAviv 2010,Israel
3014,TEDIndia 2009,India
3049,TEDxNextGenerationAsheville,United States
3050,Business Innovation Factory,United States
3053,TED Senior Fellows at TEDGlobal 2010,United States
3054,TEDxOilSpill,United States
3057,TEDxBoston 2010,United States
3058,TEDxNYED,United States
3060,TEDxEdmonton,Canada
3061,TED in the Field,United States
3064,TEDGlobal 2009,UK
3130,TEDxPuget Sound,United States
3132,TEDxNASA,United States
3134,TEDMED 2009,United States
